ville;temperature;precipitation;date;barrages;capacite_normal_mm3;reserve_mm3;taux_de_remplissage_percent;reserve_mm3_last_year;taux_de_remplissage_percent_last_year
Ouarzazate;19;0.0;15/03/2021;MANSOUR EDDAHBI;445,3;100,3;22,5;158,7;35,7
Ouarzazate;13;0.0;22/03/2021;MANSOUR EDDAHBI;445,3;99,4;22,3;158,4;35,6
Ouarzazate;19;0.0;29/03/2021;MANSOUR EDDAHBI;445,3;102,8;23,1;150,2;33,7
Ouarzazate;21;0.0;05/04/2021;MANSOUR EDDAHBI;445,3;105,7;23,7;137,1;30,8
Ouarzazate;24;0.0;12/04/2021;MANSOUR EDDAHBI;445,3;108,0;24,3;132,8;29,8
Ouarzazate;24;0.0;19/04/2021;MANSOUR EDDAHBI;445,3;109,9;24,7;132,4;29,7
Ouarzazate;20;0.0;26/04/2021;MANSOUR EDDAHBI;445,3;110,6;24,8;130,5;29,3
Ouarzazate;23;0.0;03/05/2021;MANSOUR EDDAHBI;445,3;110,7;24,9;130;29,2
Ouarzazate;25;0.0;10/05/2021;MANSOUR EDDAHBI;445,3;110,7;24,9;129,4;29,1
Ouarzazate;28;0.0;17/05/2021;MANSOUR EDDAHBI;445,3;110,4;24,8;128,8;28,9
Ouarzazate;25;0.0;24/05/2021;MANSOUR EDDAHBI;445,3;110,1;24,7;128;28,8
Ouarzazate;24;5.9;31/05/2021;MANSOUR EDDAHBI;445,3;109,6;24,6;127,4;28,6
Ouarzazate;29;0.0;07/06/2021;MANSOUR EDDAHBI;445,3;109,2;24,5;126,4;28,4
Ouarzazate;32;0.0;14/06/2021;MANSOUR EDDAHBI;445,3;108,8;24,4;125,7;28,2
Ouarzazate;29;0.0;21/06/2021;MANSOUR EDDAHBI;445,3;97,9;22,0;111,1;25
Ouarzazate;32;0.0;28/06/2021;MANSOUR EDDAHBI;445,3;80,8;18,1;97,9;22
Ouarzazate;36;0.0;05/07/2021;MANSOUR EDDAHBI;445,3;69,9;15,7;87,8;19,7
Ouarzazate;33;0.0;19/07/2021;MANSOUR EDDAHBI;445,3;68,1;15,3;85;19,1
Ouarzazate;34;0.0;26/07/2021;MANSOUR EDDAHBI;445,3;67,4;15,1;84,9;19,1
Ouarzazate;33;0.0;02/08/2021;MANSOUR EDDAHBI;445,3;66,8;15,0;82,2;18,5
Ouarzazate;34;0.0;09/08/2021;MANSOUR EDDAHBI;445,3;66,1;14,8;80,9;18,2
Ouarzazate;33;0.0;16/08/2021;MANSOUR EDDAHBI;445,3;65,4;14,7;80,6;18,1
Ouarzazate;34;0.0;23/08/2021;MANSOUR EDDAHBI;445,3;64,4;14,5;80,3;18
Ouarzazate;31;0.0;30/08/2021;MANSOUR EDDAHBI;445,3;63,4;14,2;79,9;17,9
Ouarzazate;32;0.0;06/09/2021;MANSOUR EDDAHBI;445,3;62,8;14,1;87,1;19,6
Ouarzazate;28;0.0;13/09/2021;MANSOUR EDDAHBI;445,3;61,5;13,8;92,4;20,7
Ouarzazate;28;0.0;20/09/2021;MANSOUR EDDAHBI;445,3;63,5;14,3;92,9;20,9
Ouarzazate;30;0.0;27/09/2021;MANSOUR EDDAHBI;445,3;63,4;14,2;92,6;20,8
Ouarzazate;26;0.0;04/10/2021;MANSOUR EDDAHBI;445,3;63,2;14,2;92,1;20,7
Ouarzazate;25;0.0;11/10/2021;MANSOUR EDDAHBI;445,3;63,2;14,2;91,7;20,6
Ouarzazate;25;0.0;18/10/2021;MANSOUR EDDAHBI;445,3;62,9;14,1;91,1;20,5
Ouarzazate;22;0.0;25/10/2021;MANSOUR EDDAHBI;445,3;62,7;14,1;101,8;22,9
Ouarzazate;23;0.0;01/11/2021;MANSOUR EDDAHBI;445,3;62,4;14,0;102,1;22,9
Ouarzazate;15;0.0;08/11/2021;MANSOUR EDDAHBI;445,3;62,0;13,9;102,1;22,9
Ouarzazate;16;0.0;15/11/2021;MANSOUR EDDAHBI;445,3;61,8;13,9;103,1;23,2
Ouarzazate;16;0.0;22/11/2021;MANSOUR EDDAHBI;445,3;61,6;13,8;103,6;23,3
Ouarzazate;12;0.0;29/11/2021;MANSOUR EDDAHBI;445,3;62,4;14,0;102,5;23
Ouarzazate;14;0.0;06/12/2021;MANSOUR EDDAHBI;445,3;67,5;15,2;85;19,1
Ouarzazate;12;0.3;13/12/2021;MANSOUR EDDAHBI;445,3;72,9;16,4;76,1;17,1
Ouarzazate;12;0.0;20/12/2021;MANSOUR EDDAHBI;445,3;77,0;17,3;74,7;16,8
Ouarzazate;15;0.0;27/12/2021;MANSOUR EDDAHBI;445,3;84,6;19,0;74,8;16,8
Ouarzazate;13;0.0;03/01/2022;MANSOUR EDDAHBI;445,3;89,6;20,1;75,3;16,9
Ouarzazate;12;0.0;10/01/2022;MANSOUR EDDAHBI;445,3;95,5;21,5;87,7;19,7
Ouarzazate;12;0.30000000000000004;31/01/2022;MANSOUR EDDAHBI;445,3;97,9;22,0;96,4;21,7
Ouarzazate;14;0.4;07/02/2022;MANSOUR EDDAHBI;445,3;99,9;22,4;96,7;21,7
Ouarzazate;14;0.0;14/02/2022;MANSOUR EDDAHBI;445,3;101,4;22,8;96,5;21,7
Ouarzazate;15;0.0;21/02/2022;MANSOUR EDDAHBI;445,3;102,3;23,0;96,5;21,7
Ouarzazate;15;5.4;28/02/2022;MANSOUR EDDAHBI;445,3;102,6;23,0;98,9;22,2
